mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0088
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0089
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0090
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0091
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0092
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0093
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0094
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0095
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0096
aqpZ	b0875
asnC-mioC-mnmG-rsmG	b3743
asnC-mioC-mnmG-rsmG	b3742
asnC-mioC-mnmG-rsmG	b3741
asnC-mioC-mnmG-rsmG	b3740
rpsT	b0023
glpFKX	b3927
glpFKX	b3926
glpFKX	b3925
lptD-surA-pdxA-rsmA-apaGH	b0054
lptD-surA-pdxA-rsmA-apaGH	b0053
lptD-surA-pdxA-rsmA-apaGH	b0052
lptD-surA-pdxA-rsmA-apaGH	b0051
lptD-surA-pdxA-rsmA-apaGH	b0050
lptD-surA-pdxA-rsmA-apaGH	b0049
otsBA	b1897
otsBA	b1896
pflA	b0902
entCEBAH	b0593
entCEBAH	b0594
entCEBAH	b0595
entCEBAH	b0596
entCEBAH	b0597
ackA-pta	b2296
ackA-pta	b2297
degP	b0161
tonB	b1252
sroG-ribB	b3041
metBL	b3939
metBL	b3940
lgt-thyA	b2828
lgt-thyA	b2827
accD	b2316
rplKAJL-rpoBC	b3983
rplKAJL-rpoBC	b3984
rplKAJL-rpoBC	b3985
rplKAJL-rpoBC	b3986
rplKAJL-rpoBC	b3987
rplKAJL-rpoBC	b3988
accA	b0185
yqhD-dkgA	b3011
yqhD-dkgA	b3012
cho	b1741
mutY-yggX-mltC-nupG	b2961
mutY-yggX-mltC-nupG	b2962
mutY-yggX-mltC-nupG	b2963
mutY-yggX-mltC-nupG	b2964
mdtABCD-baeSR	b2074
mdtABCD-baeSR	b2075
mdtABCD-baeSR	b2076
mdtABCD-baeSR	b2078
mdtABCD-baeSR	b2079
yceA	b1055
nagE	b0679
mscL	b3291
dinQ	b4613
serC-aroA	b0907
serC-aroA	b0908
ybfE	b0685
gntP	b4321
ilvIH	b0077
ilvIH	b0078
gntT	b3415
suhB	b2533
rpsU-dnaG-rpoD	b3065
rpsU-dnaG-rpoD	b3066
rpsU-dnaG-rpoD	b3067
hemA-prfA-prmC	b1210
hemA-prfA-prmC	b1211
hemA-prfA-prmC	b1212
marRAB	b1530
marRAB	b1531
marRAB	b1532
rpsLG-fusA-tufA	b3342
rpsLG-fusA-tufA	b3341
rpsLG-fusA-tufA	b3340
rpsLG-fusA-tufA	b3339
ompC	b2215
pdhR-aceEF-lpd	b0113
pdhR-aceEF-lpd	b0114
pdhR-aceEF-lpd	b0115
pdhR-aceEF-lpd	b0116
ompA	b0957
msrA	b4219
ptsHI-crr	b2415
ptsHI-crr	b2416
ptsHI-crr	b2417
ilvLXG_1G_2MEDA	b3766
ilvLXG_1G_2MEDA	b4669
ilvLXG_1G_2MEDA	b3769
ilvLXG_1G_2MEDA	b3770
ilvLXG_1G_2MEDA	b3771
ilvLXG_1G_2MEDA	b3772
bdm-sra	b1481
bdm-sra	b1480
gdhA	b1761
dnaK-tpke11-dnaJ	b0014
dnaK-tpke11-dnaJ	b0015
speAB	b2938
speAB	b2937
fliAZ-tcyJ	b1922
fliAZ-tcyJ	b1921
nadE	b1740
yhfA	b3356
yibN-grxC-secB-gpsA	b3611
yibN-grxC-secB-gpsA	b3610
yibN-grxC-secB-gpsA	b3609
yibN-grxC-secB-gpsA	b3608
dut-slmA	b3640
dut-slmA	b3641
fliC	b1923
aroL-yaiA-aroM	b0388
aroL-yaiA-aroM	b0389
aroL-yaiA-aroM	b0390
symE	b4347
dnaX	b0470
rybA-mntS	b4705
dapA-bamC	b2478
dapA-bamC	b2477
nhaAR	b0019
nhaAR	b0020
kdpFABC	b4513
kdpFABC	b0698
kdpFABC	b0697
kdpFABC	b0696
purA	b4177
treBC	b4240
treBC	b4239
ftnA	b1905
glpABC	b2241
glpABC	b2242
glpABC	b2243
thrLABC	b0001
thrLABC	b0002
thrLABC	b0003
thrLABC	b0004
clpPX-lon	b0437
clpPX-lon	b0438
clpPX-lon	b0439
iscRSUA	b2531
iscRSUA	b2530
iscRSUA	b2529
iscRSUA	b2528
rssAB	b1234
rssAB	b1235
dcuB-fumB	b4123
dcuB-fumB	b4122
yiaJ	b3574
pdxB-usg-truA-dedA	b2320
pdxB-usg-truA-dedA	b2319
pdxB-usg-truA-dedA	b2318
pdxB-usg-truA-dedA	b2317
hlyE	b1182
csiD-lhgO-gabDTP	b2659
csiD-lhgO-gabDTP	b2660
csiD-lhgO-gabDTP	b2661
csiD-lhgO-gabDTP	b2662
csiD-lhgO-gabDTP	b2663
hupA	b4000
idnDOTR	b4267
idnDOTR	b4266
idnDOTR	b4265
idnDOTR	b4264
hupB	b0440
yhjX	b3547
pepD	b0237
cbl	b1987
dosCP	b1490
dosCP	b1489
glnALG	b3870
glnALG	b3869
glnALG	b3868
iraD	b4326
umpG-pcm	b2744
umpG-pcm	b2743
soxS	b4062
panBC	b0134
panBC	b0133
yiaKLMNO-lyxK-sgbHUE	b3575
yiaKLMNO-lyxK-sgbHUE	b3576
yiaKLMNO-lyxK-sgbHUE	b3577
yiaKLMNO-lyxK-sgbHUE	b3578
yiaKLMNO-lyxK-sgbHUE	b3579
yiaKLMNO-lyxK-sgbHUE	b3580
yiaKLMNO-lyxK-sgbHUE	b3581
yiaKLMNO-lyxK-sgbHUE	b3582
yiaKLMNO-lyxK-sgbHUE	b3583
ghoST	b4128
ghoST	b4559
nac	b1988
aroKB-damX-dam-rpe-gph-trpS	b3390
aroKB-damX-dam-rpe-gph-trpS	b3389
aroKB-damX-dam-rpe-gph-trpS	b3388
aroKB-damX-dam-rpe-gph-trpS	b3387
aroKB-damX-dam-rpe-gph-trpS	b3386
aroKB-damX-dam-rpe-gph-trpS	b3385
aroKB-damX-dam-rpe-gph-trpS	b3384
ttdABT	b3061
ttdABT	b3062
ttdABT	b3063
tolB-pal-cpoB	b0740
tolB-pal-cpoB	b0741
opgGH	b1048
opgGH	b1049
menA-rraA	b3930
menA-rraA	b3929
lacZYA	b0344
lacZYA	b0343
lacZYA	b0342
glnS	b0680
mntP	b1821
acrEF	b3265
acrEF	b3266
azuC	b4663
cysDNC	b2752
cysDNC	b2751
cysDNC	b2750
lexA-dinF	b4043
lexA-dinF	b4044
deoCABD	b4381
deoCABD	b4382
deoCABD	b4383
deoCABD	b4384
yqaE-kbp	b2666
cdaR	b0162
nsrR-rnr-rlmB-yjfIJ	b4178
nsrR-rnr-rlmB-yjfIJ	b4179
nsrR-rnr-rlmB-yjfIJ	b4180
nsrR-rnr-rlmB-yjfIJ	b4181
nsrR-rnr-rlmB-yjfIJ	b4182
nmpC	b0553
rlmE-ftsH	b3179
rlmE-ftsH	b3178
cusCFBA	b0572
cusCFBA	b0573
cusCFBA	b0574
cusCFBA	b0575
rdoA-dsbA	b3860
mcrBC	b4346
mcrBC	b4345
eamA	b1533
yjaZ	b3989
dinB-yafNOP	b0231
dinB-yafNOP	b0232
dinB-yafNOP	b0233
dinB-yafNOP	b0234
glmUS	b3730
glmUS	b3729
ydgK-rsxABCDGE-nth	b1626
ydgK-rsxABCDGE-nth	b1627
ydgK-rsxABCDGE-nth	b1628
ydgK-rsxABCDGE-nth	b1629
ydgK-rsxABCDGE-nth	b1630
ydgK-rsxABCDGE-nth	b1631
ydgK-rsxABCDGE-nth	b1632
ydgK-rsxABCDGE-nth	b1633
tgt-yajC-secDF	b0406
tgt-yajC-secDF	b0407
tgt-yajC-secDF	b0408
tgt-yajC-secDF	b0409
dnaAN-recF	b3702
dnaAN-recF	b3701
dnaAN-recF	b3700
ecnAB	b4410
ecnAB	b4411
spy	b1743
coaA	b3974
carAB	b0032
carAB	b0033
aceBAK	b4014
aceBAK	b4015
aceBAK	b4016
relA-mazEFG	b2784
relA-mazEFG	b2783
relA-mazEFG	b2782
relA-mazEFG	b2781
edd-eda	b1851
edd-eda	b1850
fucAO	b2800
fucAO	b2799
ykgR	b4671
guaBA	b2508
guaBA	b2507
insK	b3558
yfiR-dgcN-yfiB	b2603
yfiR-dgcN-yfiB	b2605
yhaOM	b3110
yhaOM	b4470
slp-dctR	b3506
slp-dctR	b3507
fimB	b4312
yrbL	b3207
fimE	b4313
arcB	b3210
yneM	b4599
atpIBEFHAGDC	b3739
atpIBEFHAGDC	b3738
atpIBEFHAGDC	b3737
atpIBEFHAGDC	b3736
atpIBEFHAGDC	b3735
atpIBEFHAGDC	b3734
atpIBEFHAGDC	b3733
atpIBEFHAGDC	b3732
atpIBEFHAGDC	b3731
cspA	b3556
ansA-pncA	b1767
ansA-pncA	b1768
